text;label
Em crise plano de saúde da PMDF marca consulta de menino autista só para 2025;Má Gestão
Após denúncias MG anuncia compra de EPIs para 170 mil servidores da saúde;Má Gestão
AGU decide recorrer ao STF contra quebras de sigilo da CPI;Má Gestão
Falta transparência em dados apresentados da Sputnik V diz ex-diretor da Anvisa;Má Gestão
Adaps responsável pelo Médicos pelo Brasil diz que diretores fraudaram eleição para continuar no cargo;Má Gestão
Anvisa suspende lote de medicamento para esclerose múltipla falsificado;Má Gestão
Anvisa pede informações sobre Prevent Senior a vigilâncias sanitárias de SP;Má Gestão
Câmara aprova MP que libera quase R$ 2 bi para vacina da Oxford;Má Gestão
Câmara de Porto Alegre aprova abertura de processo de impeachment de Marchezan;Má Gestão
CPI investiga suposto pagamento de propina de R$ 296 mil na Saúde;Má Gestão
CPI da Covid-19 recebe suposto lobista da Precisa Medicamentos;Má Gestão
CPI convoca Ricardo Barros e envolvidos em suposto pedido de propina para vacina;Má Gestão
CPI ouve médicos defensores do tratamento precoce e vota novos requerimentos;Má Gestão
Invoice apresentava mais erros do que a média  frases de William Santana à CPI;Má Gestão
CPI da Pandemia ouve advogada de médicos da Prevent e Luciano Hang;Má Gestão
CPI ouve hoje o deputado que relatou comissão sobre fraudes na saúde do Amazonas;Má Gestão
Citado em três depoimentos ex-assessor da Saúde fala à CPI nesta quarta (4);Má Gestão
CPI da Pandemia ouve Wagner Rosário da CGU sobre suposta corrupção na Saúde;Má Gestão
CPI ouve subordinado de Luis Ricardo Miranda no Ministério da Saúde;Má Gestão
CPI da Pandemia ouve advogada de médicos da Prevent nesta terça-feira (28);Má Gestão
CPI da Pandemia ouve diretor da Prevent Senior nesta quarta-feira (22);Má Gestão
CPI da Pandemia ouve ex-médico e cliente da Prevent Senior na quinta-feira (7);Má Gestão
Em depoimento tumultuado Dominghetti reafirma pedido de propina por vacinas;Má Gestão
À CPI ex-médico e paciente acusam Prevent de irregularidades em tratamentos;Má Gestão
CPI quer ouvir servidor que relatou pressão para compra de vacina indiana;Má Gestão
CPI da Prevent Senior decide convocar quatro médicos na condição de investigados;Má Gestão
"CPI quer avançar em denúncias sobre vacinas na próxima semana; veja depoimentos";Má Gestão
Enfermeira diz que médico pediu cartão em branco para colocar nome de esposa de Mauro Cid em comprovante de vacinação;Má Gestão
Apontada como falsa médica tenta acordo com MP para não ser condenada;Má Gestão
Justiça afasta investigados após morte de estudante por superdosagem;Má Gestão
Covid: PF faz operação contra suspeita de fraude em contratos na saúde;Má Gestão
PGR alega ‘competência federal’ e pede ao STJ liberdade para ex-secretário do RJ;Má Gestão
Operação investiga desvio de recursos da saúde e educação no Piauí;Má Gestão
PF investiga fraude na compra de medicamentos de alto custo no Ministério da Saúde;Má Gestão
Brodowski (SP) exonera secretários por suspeita de fura-fila da vacina;Má Gestão
Após adiamento Saúde nomeia 1.225 novos servidores no DF;Má Gestão
Falta de oxigênio para tratamento domiciliar é investigada pelo TCDF;Má Gestão
Advogados são suspeitos de estelionato contra 50 médicos em Sergipe;Má Gestão
Clínica clandestina denunciada por torturas e humilhações é interditada no Entorno;Má Gestão
Aliados orientam Bolsonaro a rever cortes no Farmácia Popular em 2023;Má Gestão
Depoimento de diretor da Prevent Senior é adiado para próxima quarta;Má Gestão
Ambulância quebra e idosa é levada ao hospital por motorista de app;Má Gestão
Após denúncia MPDFT flagra Hospital do Guará sem médico radiologista;Má Gestão
Após reportagem da CNN Saúde altera aditivo com empresa que negociou Covaxin;Má Gestão
Cartão das filhas de Cid tem vacinas proibidas para menores de 18 anos;Má Gestão
Bebês são transferidos de UTI após faltar energia em hospital da Paraíba;Má Gestão
Fórum de Governadores pede prorrogação de leitos extras ao Ministério da Saúde;Má Gestão
Com taxa de positividade em 50% Rio pede reabertura de 400 leitos ao Ministério da Saúde;Má Gestão
CPI analisa contratos da Saúde com empresas envolvidas em corrupção no RJ;Má Gestão
CPI ouve ex-diretor da Saúde acusado de pedir propina de US$ 1 por vacina;Má Gestão
Chico Rodrigues era ‘gestor paralelo’ de pasta da Saúde em Roraima aponta PF;Má Gestão
Estoque reduzido: estados adotam estratégia para racionar vacina BCG;Má Gestão
Apagão de dados da Saúde causa distorção e dificulta combate à pandemia diz governador;Má Gestão
Após risco de desabastecimento governo compra 400 mil doses de insulina;Má Gestão
Diretor de Logística é exonerado da Saúde após relatos de suposta propina;Má Gestão
PGR alerta Ministério da Saúde sobre possibilidade de falta de oxigênio em RO;Má Gestão
Além de Dominghetti outros supostos vendedores ofertaram vacinas à Saúde;Má Gestão
“Fora Iges”: em coro profissionais de saúde protestam durante conferência;Má Gestão
Ministério da Saúde descartou 1 milhão de canetas de insulina por perda de validade no governo Bolsonaro;Má Gestão
À PF secretário de Saúde do Amazonas isenta Pazuello e culpa White Martins;Má Gestão
Documento aponta que Saúde sabia da falta de oxigênio em Manaus;Má Gestão
Coronavírus: Conselho Nacional de Enfermagem recebe 36 mil denúncias;Má Gestão
Faltando 4 meses para o fim do ano PMDF gastou 80% da verba da Saúde;Má Gestão
